Edge TPU Compiler version 16.0.384591198
Input: model.tflite
Output: model_edgetpu.tflite

Operator                       Count      Status

LESS_EQUAL                     1          Operation is working on an unsupported data type
SPLIT                          2          For example, a fully-connected or softmax layer with 2D output
FULLY_CONNECTED                210        Mapped to Edge TPU
FULLY_CONNECTED                1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CAST                           2          Operation is working on an unsupported data type
ARG_MAX                        1          Operation is working on an unsupported data type
QUANTIZE                       2          Operation is otherwise supported, but not mapped due to some unspecified limitation
EQUAL                          1          Operation is working on an unsupported data type
SUM                            1          Mapped to Edge TPU
PACK                           2          Mapped to Edge TPU
RESHAPE                        214        Mapped to Edge TPU
